column,pct_missing,n
entity_id,0.0,204
source,0.0,204
source_native_id,0.0,204
entity_type,0.0,204
name_or_title,0.0,204
description_text,1.0,204
url,0.0,204
created_at,0.0,204
retrieved_at,0.0,204
author_handle,1.0,204
maker_count,1.0,204
metric_primary,1.0,204
metric_secondary,1.0,204
revenue_signal,1.0,204
category_raw,1.0,204
structural_signal,1.0,204
intentional_signal,1.0,204
leverage_signal,1.0,204
is_solopreneur_candidate,1.0,204
labeling_method,1.0,204
raw_source_path,0.0,204
