year,n,n_candidates,proportion,ci_low,ci_high
2019,7344,3817,0.5197440087145969,0.5083101777069303,0.5311571953474883
2020,4482,1997,0.4455600178491745,0.4310618046537916,0.46015147060799333
2021,7088,3486,0.49181715575620766,0.48018621143152,0.5034569649319728
2022,8323,2460,0.2955665024630542,0.28585969580360554,0.3054619335526045
2023,11247,3634,0.3231083844580777,0.3145270681232835,0.331810495643518
2024,8838,2837,0.321000226295542,0.31134653340400326,0.33080945698150993
